filename,path,piece_id,makam,form,usul,title,composer,source_format,duration_quarters,n_notes,pitch_class_entropy,rhythmic_complexity,note_density,pitch_range,unique_pitch_count,phase_entropy,has_pitch_bend_or_perde
acem--ilahi--duyek--aldanma_dunya--zekai_dede.mid,symbtr/acem--ilahi--duyek--aldanma_dunya--zekai_dede.mid,acem--ilahi--duyek--aldanma_dunya--zekai_dede,acem,ilahi,duyek,aldanma_dunya,zekai_dede,midi,91.44166666666666,263,2.641102199791552,1.7578812840426938,2.876150551353322,11.0,7.0,2.999593928374038,True
acem--ilahi--nimevsat--calabim_bir--haci_bayram_veli.mid,symbtr/acem--ilahi--nimevsat--calabim_bir--haci_bayram_veli.mid,acem--ilahi--nimevsat--calabim_bir--haci_bayram_veli,acem,ilahi,nimevsat,calabim_bir,haci_bayram_veli,midi,130.0,266,2.759907235354333,1.7496617369014782,2.046153846153846,11.0,8.0,2.9910036851522364,True
acem--kupe--duyek--zulfunu--ahmet_avni_konuk.mid,symbtr/acem--kupe--duyek--zulfunu--ahmet_avni_konuk.mid,acem--kupe--duyek--zulfunu--ahmet_avni_konuk,acem,kupe,duyek,zulfunu,ahmet_avni_konuk,midi,64.0,94,2.894959597351033,1.5815195925670944,1.46875,11.0,10.0,2.9845111311060823,True
acem--selam--devrikebir--asik-i_ger--huseyin_fahreddin_dede.mid,symbtr/acem--selam--devrikebir--asik-i_ger--huseyin_fahreddin_dede.mid,acem--selam--devrikebir--asik-i_ger--huseyin_fahreddin_dede,acem,selam,devrikebir,asik-i_ger,huseyin_fahreddin_dede,midi,845.0,1124,3.171670804341505,1.8064961876513,1.3301775147928994,11.0,12.0,2.984608834381854,True
acem--seyir--sofyan----sefik_gurmeric.mid,symbtr/acem--seyir--sofyan----sefik_gurmeric.mid,acem--seyir--sofyan----sefik_gurmeric,acem,seyir,sofyan,sefik_gurmeric,,midi,63.9,99,2.994808278405073,1.4177407747864843,1.5492957746478873,11.0,9.0,2.986978615741756,True
acem--seyir--sofyan--1--erol_bingol.mid,symbtr/acem--seyir--sofyan--1--erol_bingol.mid,acem--seyir--sofyan--1--erol_bingol,acem,seyir,sofyan,1,erol_bingol,midi,64.0,99,3.0242652924474607,1.3217764929763598,1.546875,11.0,10.0,2.979516524769183,True
acem--turku--duyek--ordunun_dereleri--ordu.mid,symbtr/acem--turku--duyek--ordunun_dereleri--ordu.mid,acem--turku--duyek--ordunun_dereleri--ordu,acem,turku,duyek,ordunun_dereleri,ordu,midi,177.45416666666668,480,2.59292499307297,0.9584615247027936,2.704923806616732,11.0,7.0,2.991839985955804,True
acemasiran--agirsemai--senginsemai--ey_lebleri--dede_efendi.mid,symbtr/acemasiran--agirsemai--senginsemai--ey_lebleri--dede_efendi.mid,acemasiran--agirsemai--senginsemai--ey_lebleri--dede_efendi,acemasiran,agirsemai,senginsemai,ey_lebleri,dede_efendi,midi,313.03333333333336,778,3.1380628824410985,1.259524222663501,2.4853583217974653,11.0,11.0,2.999313353917905,True
acemasiran--aranagme--agiraksak--1--.mid,symbtr/acemasiran--aranagme--agiraksak--1--.mid,acemasiran--aranagme--agiraksak--1--,acemasiran,aranagme,agiraksak,1,,midi,65.40625,148,2.746064050965149,1.640734001398405,2.2627806975633065,10.0,7.0,2.9955771180958104,True
acemasiran--aranagme--aksak--1--.mid,symbtr/acemasiran--aranagme--aksak--1--.mid,acemasiran--aranagme--aksak--1--,acemasiran,aranagme,aksak,1,,midi,27.741666666666667,66,2.782649976010448,0.231872326809322,2.379092820666867,10.0,7.0,2.968858945237005,True
