piece_a,piece_b,makam,usul,feature_diff
acemasiran--sazsemaisi--aksaksemai----gazi_giray_han,gerdaniye--turku--kapali_curcuna--celik_pazari--erzurum,acemasiran,aksaksemai,0.5333881720661604
acemasiran--sazsemaisi--aksaksemai----misirli_udi_ibrahim_efendi,huzzam--turku--curcuna--al_yesil--urfa,acemasiran,aksaksemai,-0.15150185520561577
acemasiran--sazsemaisi--aksaksemai----serafettin_seref_cakar,tahir--turku--musemmen_ii--alli_durnam--kirikkale-keskin,acemasiran,aksaksemai,-0.13478340105769737
acemkurdi--sazsemaisi--aksaksemai----muallim_ismail_hakki_bey,acemkurdi--turku--duyek--ankaranin_yollari--,acemkurdi,aksaksemai,0.9035861474642441
anberefsan--sazsemaisi--aksaksemai----huseyin_sadettin_arel,tahir--turku--nimsofyan--bagisla_sevdigim--kirsehir,anberefsan,aksaksemai,0.3122842228192373
arazbarbuselik--sazsemaisi--aksaksemai----refik_fersan,acem--turku--duyek--ordunun_dereleri--ordu,arazbarbuselik,aksaksemai,0.4615660064372321
bestenigar--sazsemaisi--aksaksemai----tanburi_cemil_bey,acemkurdi--turku--duyek--ham_meyveyi--,bestenigar,aksaksemai,0.5904284135886433
beyati--sazsemaisi--aksaksemai----gevheri_osmanoglu,beyati--turku--3334--kirmizi_gul--erzurum,beyati,aksaksemai,-0.02494189791041279
beyati--sazsemaisi--aksaksemai----kanuni_omer_efendi,beyati--turku--devrihindi--bir_cift--yozgat,beyati,aksaksemai,-0.36641518990979205
beyati--sazsemaisi--aksaksemai----nayi_osman_dede,beyati--turku--kapali_curcuna--aksam_olur--urfa,beyati,aksaksemai,0.18579496516052507
beyati--sazsemaisi--aksaksemai----tanburi_isak,beyati--turku--nimsofyan--gesi_baglarinda--kayseri,beyati,aksaksemai,0.6752772040731552
beyati--sazsemaisi--aksaksemai--arap--misirli_udi_ibrahim_efendi,beyati--turku--sofyan--tren_gelir--malatya,beyati,aksaksemai,0.06074262993500068
beyati--sazsemaisi--aksaksemai--beyatiye_bir_damla--necmi_kiran,ferahnuma--turku--sofyan--bulguru_kaynatirlar--ankara,beyati,aksaksemai,0.06000440244625005
beyatiaraban--sazsemaisi--aksaksemai----rauf_yekta,evchuzi--turku--aksak--ben_havada--,beyatiaraban,aksaksemai,-0.01688070140037956
buselik--sazsemaisi--aksaksemai----ferit_sidal,buselik--turku--azeriyuruksemai--daglara_cen--,buselik,aksaksemai,0.23881659199124328
buselik--sazsemaisi--aksaksemai----mutlu_torun,buselik--turku--semai--fikrimden_geceler--,buselik,aksaksemai,-0.5166520390755289
buselik--sazsemaisi--aksaksemai----nefiri_behram_aga,buselik--turku--yuruksemai_ii--igdirin_al--igdir,buselik,aksaksemai,-0.09471284954030512
dilkeshaveran--sazsemaisi--aksaksemai----ismail_fenni_ertugrul,evic--turku--aksak--havada_turna--istanbul,dilkeshaveran,aksaksemai,0.19958252650484987
dilkusa--sazsemaisi--aksaksemai----arif_mehmet_aga,evic--turku--aksak--ayagina_giymis--,dilkusa,aksaksemai,0.5212032660342194
evcara--sazsemaisi--aksaksemai----dilhayat_kalfa,huseyni--turku--sofyan--kopruden_gecti--kirsehir,evcara,aksaksemai,-0.7371133475448806
evic--sazsemaisi--aksaksemai----muallim_ismail_hakki_bey,evic--turku--agiraksak--karanfilin_moruna--canakkale,evic,aksaksemai,0.3615720451548494
evic--sazsemaisi--aksaksemai----sedat_oztoprak,evic--turku--aksak--ey_benim--,evic,aksaksemai,0.3152394417232496
ferahfeza--sazsemaisi--aksaksemai----serif_muhittin_targan,muhayyer--turku--musemmen_ii--elma_attim--tunceli,ferahfeza,aksaksemai,0.3137929271216726
ferahfeza--sazsemaisi--aksaksemai----tanburi_cemil_bey,segah--turku--curcuna--yemenimin_uclari--,ferahfeza,aksaksemai,0.37495847421056583
ferahnak--sazsemaisi--aksaksemai----leon_hanciyan,ferahnak--turku--duyek--mapusane_icinde--bartin,ferahnak,aksaksemai,0.9544795687290548
gevest--sazsemaisi--aksaksemai----,ferahnuma--turku--aksak--kiz_bahcende--kastamonu,gevest,aksaksemai,-0.1397589196394744
